"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"1","0001",31945,127,56792,"2022-04-17 18:23:37.878",44969
"2","0003",37972,103,56792,"2022-04-17 18:23:37.878",122411
"3","0004",20817,149,56792,"2022-04-17 18:23:37.878",20410
"4","0005",42290,69,56792,"2022-04-17 18:23:37.878",2243655
"5","0006",6231,55,56792,"2022-04-17 18:23:37.878",21751
"6","0009",40915,193,56792,"2022-04-17 18:23:37.878",16909053
"7","000A",5126,4,56792,"2022-04-17 18:23:37.878",312
"8","000B",2134,14,56792,"2022-04-17 18:23:37.878",8667
"9","000C",4879,14,56792,"2022-04-17 18:23:37.878",26875
"10","0010",3542,14,56792,"2022-04-17 18:23:37.878",233
"11","0021",42968,673,56792,"2022-04-17 18:23:37.878",4087714
"12","0022",23851,72,56792,"2022-04-17 18:23:37.878",167101
"13","0023",13511,83,56792,"2022-04-17 18:23:37.878",4200
"14","0024",19729,72,56792,"2022-04-17 18:23:37.878",311
"15","0025",29389,159,56792,"2022-04-17 18:23:37.878",9362
"16","0026",35616,106,56792,"2022-04-17 18:23:37.878",49178
"17","0027",42123,234,56792,"2022-04-17 18:23:37.878",6917259
"18","0028",24440,64,56792,"2022-04-17 18:23:37.878",59134
"19","0040",42777,223,56792,"2022-04-17 18:23:37.878",10745858
"20","0044",17225,11,56792,"2022-04-17 18:23:37.878",209802
"21","0047",7694,4,56792,"2022-04-17 18:23:37.878",3342
"22","0048",4351,3,56792,"2022-04-17 18:23:37.878",10023
"23","03DF",28353,11,56792,"2022-04-17 18:23:37.878",487507
"24","0001",31945,127,56796,"2022-04-17 19:22:06.282",33635
"25","0003",37984,103,56796,"2022-04-17 19:22:06.282",121790
"26","0004",20829,149,56796,"2022-04-17 19:22:06.282",20674
"27","0005",42302,69,56796,"2022-04-17 19:22:06.282",2019260
"28","0006",6243,55,56796,"2022-04-17 19:22:06.282",14504
"29","0009",40927,193,56796,"2022-04-17 19:22:06.282",16631056
"30","000A",5126,4,56796,"2022-04-17 19:22:06.282",410
"31","000B",2134,14,56796,"2022-04-17 19:22:06.282",12208
"32","000C",4879,14,56796,"2022-04-17 19:22:06.282",25839
"33","0010",3542,14,56796,"2022-04-17 19:22:06.282",466
"34","0021",42980,673,56796,"2022-04-17 19:22:06.282",3490761
"35","0022",23863,72,56796,"2022-04-17 19:22:06.282",184998
"36","0023",13511,83,56796,"2022-04-17 19:22:06.282",6099
"37","0024",19729,72,56796,"2022-04-17 19:22:06.282",315
"38","0025",29401,159,56796,"2022-04-17 19:22:06.282",13224
"39","0026",35628,106,56796,"2022-04-17 19:22:06.282",45496
"40","0027",42135,234,56796,"2022-04-17 19:22:06.282",5164307
"41","0028",24452,64,56796,"2022-04-17 19:22:06.282",56819
"42","0040",42789,223,56796,"2022-04-17 19:22:06.282",9560817
"43","0044",17237,11,56796,"2022-04-17 19:22:06.282",265520
"44","0047",7706,4,56796,"2022-04-17 19:22:06.282",7590
"45","0048",4351,3,56796,"2022-04-17 19:22:06.282",8156
"46","03DF",28365,11,56796,"2022-04-17 19:22:06.282",472694
"47","0001",31946,127,56800,"2022-04-17 20:23:18.656",31846
